afterTaxInterestRate,taxRate,netValuePerShare,revenuePerShare,currentRatio,quickRatio,totalDebtToNetWorth,accountsReceivablesTurnover,averageCollectionDays,inventoryTurnover,fixedAssetsTurnover,netWorthTurnover,revenuePerPerson,operatingProfitPerPerson,allocationRatePerPerson,cashToTotalAssets,quickAssetsToCurrentLiab,cashToCurrentLiab,operatingFundsToLiab,inventoryToWorkingCap,inventoryToCurrentLiab,workingCapitalToEquity,longTermLiabToCurrentAssets,totalIncomeToTotalExpense,totalExpenseToAssets,currentAssetsTurnover,quickAssetTurnover,cashTurnover,cashFlowToSales,fixedAssetsToTotalAssets,currentLiabToTotalLiab,cashFlowToLiab,cashFlowToAssets,cashFlowToEquity,currentLiabToCurrentAssets,liabAssetFlag,netIncomeToTotalAssets,noCreditInterval,grossProfitToSales,liabToEquity,degreeFinLeverage,interestCoverageRatio,equityToLiab,default
0.781575869,0.359348112,0.171463487,0.02752696,0.007189993,0.004850983,0.010877356,0.000594483,0.010620066,0.000157826,0.000342693,0.036129032,0.037513036,0.39867936,0.013732165,0.021562977,0.006448127,0.000774069,0.344317541,0.277326653,0.002271168,0.734308782,0.002964329,0.002256891,0.019243939,0.000199339,0.000188451,2070000000.0,0.6715767,0.166325763,0.873663354,0.460215786,0.583647149,0.315775891,0.040245307,0,0.798980952,0.623812502,0.603460687,0.28266778,0.028244009,0.568075461,0.022352554,0
0.781636501,0.074906367,0.186759934,0.103059727,0.007472676,0.00598263,0.01066032,0.001272154,0.004970604,0.000227759,0.001759614,0.098387097,0.028142121,0.393399064,0.002377243,0.066626853,0.006317149,0.002203803,0.317325092,0.277396835,0.003338605,0.73506562,0.0,0.002326434,0.059523932,6980000000.0,6440000000.0,2250000000.0,0.671554849,0.109146029,0.958393134,0.448569617,0.444414757,0.301081902,0.03877134,0,0.829574528,0.623750663,0.603458565,0.282510175,0.026857752,0.565457111,0.022596562,0
0.781722256,0.166616054,0.143188235,0.011751894,0.000771916,0.000407368,0.016792967,0.007641038,0.000827438,0.002663176,4840000000.0,0.043548387,0.018495072,0.406368015,0.039505306,0.007415441,0.000864465,0.000301102,0.355293405,0.276970318,0.000120832,0.720612996,0.095757336,0.002420494,0.030001745,1680000000.0,2230000000.0,836000000.0,0.671555467,0.826616088,0.645926877,0.456694675,0.655035533,0.309470666,0.282108241,0,0.829418853,0.619933289,0.620420986,0.286957599,0.027117168,0.566346388,0.018117037,0
0.781709624,0.001113473,0.190004635,0.028147073,0.02032443,0.015191762,0.002303505,0.000917087,0.006898731,9250000000.0,0.000248888,0.027258065,0.019661296,0.400296239,0.010108874,0.259179422,0.015678736,0.023723967,0.363664649,0.277141406,0.012341724,0.738107098,0.0,0.002410886,0.026661622,0.000167028,0.000136781,0.000195824,0.671530454,0.296885928,0.888726429,0.429791019,0.610686299,0.306178199,0.014426649,0,0.82419261,0.624200283,0.609082948,0.276449472,0.026794979,0.565176555,0.064978896,0
0.7818678,0.0,0.19270153,0.013672732,0.082392879,0.065902504,0.000496995,0.001130127,0.00559225,9110000000.0,0.002724148,0.02,0.016259566,0.403835282,0.000745568,0.141441177,0.073818504,0.037538958,0.34409546,0.277031892,0.02245794,0.741491604,0.0,0.002447474,0.031513899,0.000440498,0.000417084,0.000193322,0.671455094,0.014637272,1.0,0.310639545,0.566649472,0.303608493,0.003370671,0,0.836084048,0.624521701,0.626115527,0.275139471,0.026792723,0.565165854,0.221504848,0
0.781659378,0.0,0.229067464,0.023261793,0.007803408,0.005434274,0.004521289,0.000803465,0.007868771,8040000000.0,0.000122553,0.019354839,0.008618892,0.394348839,0.00990269,0.032602503,0.005554281,0.002199249,0.358293351,0.277615602,0.006160572,0.73321151,0.007271139,0.002378527,0.010522254,0.000209568,0.000156255,5700000000.0,0.671511998,0.286778791,0.750109125,0.447810654,0.621237641,0.30833719,0.037177708,0,0.80510107,0.623985671,0.605197454,0.278058356,0.026844907,0.565402285,0.038896577,0
0.781625554,0.0,0.172011293,0.023776033,0.013513218,0.00817231,0.007724856,0.001284327,0.004924493,739000000.0,0.000180046,0.032419355,0.010907275,0.395230773,0.007419491,0.126403006,0.008312852,0.011228482,0.353369054,0.277327865,0.013775373,0.736850377,0.019394197,0.002338919,0.015911037,0.000142741,9170000000.0,0.000119924,0.671587514,0.312799751,0.408634258,0.46316576,0.620526214,0.318134911,0.021688259,0,0.806098149,0.621901571,0.603337406,0.280381101,0.027038519,0.566114151,0.027215276,0
0.781770677,0.0,0.176520163,0.016606924,0.024210221,0.017005266,0.003054013,0.000900855,0.007022547,3760000000.0,0.000345719,0.024354839,0.018110248,0.401698288,0.006784755,0.448192012,0.019265337,0.037236226,0.380311639,0.277114187,0.0131132,0.741144397,0.00186359,0.002368591,0.038801359,0.000325561,0.000273023,0.000483711,0.671645838,0.151455039,0.79559217,0.488812558,0.662207084,0.325557085,0.012091551,0,0.827444219,0.624078638,0.624386245,0.276993878,0.026800247,0.565201373,0.052090913,0
0.78172394,0.078651685,0.18777127,0.026725351,0.012791224,0.007832941,0.003010241,0.00151157,0.004184154,6210000000.0,0.00043196,0.029193548,0.011609359,0.397718279,0.003346788,0.110182772,0.008323197,0.007441642,0.346373884,0.277311521,0.011885767,0.736156496,0.0,0.002374792,0.03740274,0.00015403,0.000105096,8990000000.0,0.671573072,0.154222925,0.992801824,0.459690587,0.578498046,0.314718898,0.022900699,0,0.827666891,0.623846297,0.614938538,0.276961992,0.026823655,0.565308733,0.052676141,0
0.781590045,0.101123596,0.202056382,0.193928944,0.011154411,0.007322015,0.010166972,0.002067503,0.003058702,0.000218396,0.034002304,0.143548387,0.129500756,0.399414305,0.000564265,0.169604385,0.007419044,0.006687292,0.342645065,0.2773468,0.009996403,0.740677608,0.003455094,0.002318337,0.041806469,5280000000.0,3740000000.0,3710000000.0,0.671570927,0.00869761,0.819279787,0.457947171,0.574636249,0.312970752,0.026214679,0,0.817582911,0.623808772,0.598783888,0.282152413,0.026852618,0.565435347,0.023188667,0
